I 06/10/2012 17:00:47:479 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 17:00:47:480 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 17:00:47:751 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 17:00:47:767 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 17:01:30:648 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 17:01:30:650 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 17:01:30:651 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 17:01:30:651 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 17:01:30:651 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 17:01:30:653 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 17:01:30:653 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 17:01:30:656 00002ac8           HttpServer| GC Start.
I 06/10/2012 17:01:30:657 00002ac8           HttpServer| GC End.
I 06/10/2012 17:01:30:657 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 17:01:30:682 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 17:01:30:685 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 17:01:30:686 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 17:01:30:688 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 17:01:30:689 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
